,BusinessNum,agentName,applicantName,applicationDate,applicationNumber,classificationCode,registrationNumber,title
13571,2448104572,['박천배'],['주식회사 신세계'],1983-03-15,5.02E+12,['009'],4.00E+12,S
13572,2448104572,"['조철현', '고승호']",['주식회사 신세계'],1994-11-15,5.02E+12,['023'],4.00E+12,공작 PEACOCK
13573,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2009-03-24,4.12E+12,['36'],4.10E+12,green Plus SHINSEGAE
13574,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2009-06-15,4.02E+12,['32'],4.01E+12,I'm Greenista
13575,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2016-12-29,4.02E+12,['24'],4.01E+12,MINDMARK
13576,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2013-03-07,4.02E+12,['24'],4.01E+12,MOTB
13577,2448104572,['조철현'],['주식회사 신세계'],2008-04-29,4.02E+12,['11'],4.01E+12,GOOD CHOICE SHINSEGAE
13578,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2016-12-06,4.02E+12,['43'],4.01E+12,CASAPAVO
13579,2448104572,['조철현'],['주식회사 신세계'],1999-10-19,4.02E+12,['21'],4.01E+12,MILLENNIUM ONLY SHINSEGAE2000
13580,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2009-06-15,4.02E+12,['21'],4.01E+12,I'm Greenista
13581,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2020-04-16,4.02E+12,['29'],4.02E+12,푸빌라 PUUVILLA
13582,2448104572,,['주식회사 신세계'],1989-10-19,4.02E+12,['045'],4.00E+12,마.띠.네 BY PEACOOK ROYAL
13583,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2012-02-27,4.02E+12,['09'],4.01E+12,BOONS APOTHECARY SEOUL
13584,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2017-05-25,4.02E+12,['09'],4.01E+12,SUBLIME
13585,2448104572,['조철현'],['주식회사 신세계'],2000-09-19,5.02E+12,"['06', '09', '10', '14', '17', '21', '24', '25', '26']",4.00E+12,아이비 하우스 IVY HOUSE
13586,2448104572,['이기성'],['주식회사 신세계'],2001-05-18,4.02E+12,['25'],4.01E+12,m'ss code
13587,2448104572,['조철현'],['주식회사 신세계'],2006-09-25,4.12E+12,['35'],,Marquee
13588,2448104572,['조철현'],['주식회사 신세계'],1996-08-22,4.02E+12,['011'],4.00E+12,E PLUS
13589,2448104572,['조철현'],['주식회사 신세계'],2017-06-23,4.02E+12,['35'],4.01E+12,SHINSEGAE OFFSTAGE
13590,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2016-08-24,4.12E+12,['35'],4.10E+12,ADDIR
13591,2448104572,['조철현'],['주식회사 신세계'],1989-07-20,4.02E+12,['002'],4.00E+12,SHINSEGAE
13592,2448104572,['조철현'],['주식회사 신세계'],2011-03-10,4.12E+12,['43'],4.10E+12,TRINITY
13593,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2012-03-06,4.12E+12,['43'],,TRINITY CLUB
13594,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2014-02-25,4.12E+12,['43'],,WORLD OF WONDER
13595,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2015-09-23,4.12E+12,['43'],4.10E+12,SHINSEGAE FOOD Good Quality Good Price THE CHEF'S CHOICE
13596,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2010-06-11,4.02E+12,['18'],4.01E+12,SHINSEGAE MEN'S COLLECTION
