BusinessNum,PerformAgent,MergedText
1351900049,(주)대우건설,EQU 저에너지 건물 구현을 위한 융복합기술 실증사업 1415114738.0 2.01e+19 NFEC-2011-11-150594 2011.0 2010.0 N38 지식경제부 200807451400301A 에너지자원기술개발지원 ZA13580 50211.0 에너지소재 기술 31300.0 에너지 소재기술 M05 전력IT nan nan nan nan
1351900049,경운대학교 산학협력단,EQU 2단계 산학협력중심대학육성사업 1345162261.0 2.01e+19 NFEC-2012-03-159835 2011.0 2011.0 N15 교육과학기술부 D21007022560300A 2단계 산학협력중심대학육성사업 7007817 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 L9999 달리 분류되지 않는 정보/통신 nan nan nan nan
1351900049,한국전자정보통신산업진흥회,EQU BIT융합기술산업화지원기반구축사업 1415088459.0 2.01e+19 NFEC-2007-10-012621 2006.0 2008.0 N38 지식경제부 200807432580301A 차세대컨버전스전략기술개발 ABW0149 20118.0 바이오칩 개발기술 21300.0 바이오 칩/센서기술 D7 생명과학 nan 나노 바이오 nan nan
1351900049,(주)영진세라믹스,EQU 대형 알루미나 세라믹 부품의 제조기술 개발 1415078101.0 2.01e+19 NFEC-2009-10-073380 2007.0 2007.0 38 산업자원부 2.01E+13 지역전략산업진흥 ZA45253 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 41800.0 고기능 세라믹 소재기술 G2 재료 nan 세라믹재료 nan nan
1351900049,대우조선해양(주),EQU 선체블록 내부 전처리/후공정 자동화시스템 개발 1415097290.0 2.01e+19 NFEC-2011-01-136585 2009.0 2009.0 N38 지식경제부 200807432560301A 그린카 등 수송시스템산업원천기술개발 ZC86312 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 40200.0 고부가가치 선박기술 H05 로봇/자동화기계 nan nan nan nan
1351900049,(재)부산테크노파크,EQU 안전기술 상용화 플랫폼 구축 사업 1415159687.0 2.02e+19 NFEC-2020-01-259896 2019.0 2018.0 P21 산업통상자원부 U00775 안전산업경쟁력강화 ZC98564 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 120101.0 위의 중점과학기술에 속하지 않는 기타 연구 EE1199 달리 분류되지 않는 정보통신 모듈/부품 nan nan nan nan
1351900049,목포대학교,EQU 기존 아파트에 적용 가능한 바닥충격음 차단성능인정 바닥구조의 개발 1500001055.0 2.01e+19 NFEC-2011-01-135824 2007.0 2006.0 17 건설교통부 2.90E+15 건설핵심기술연구개발사업 7000392 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 Q2 건설·교통 nan 시공·재료·건설관리 기술 nan nan
1351900049,(주)대우건설,EQU 수영용수 수준의 하수 고도처리를 위한 I3 system 실용화 1480002535.0 2.01e+19 NFEC-2011-01-133924 2006.0 2006.0 34 환경부 2.60E+15 차세대핵심환경기술개발 ZA13580 50113.0 수질오염처리 및 재이용기술 30200.0 수질관리 및 수자원 확보기술 N2 환경 nan 환경오염제어·관리기술 nan nan
1351900049,부산대학교,EQU 차세대 수송구조물의 접착기술 및 공정시스템 개발 1345066729.0 2.01e+19 NFEC-2009-02-071448 2009.0 2008.0 N15 교육과학기술부 2.01E+13 동북아R&D허브기반구축 7000463 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 41200.0 지능형 생산시스템 기술 F2 기계 nan 육상수송기계 nan nan
1351900049,한국해양연구원,EQU 연구선 장착 노후장비 기능 고도화 1355052327.0 2.01e+19 NFEC-2009-06-071197 2008.0 2007.0 21 과학기술부 2.01E+13 한국해양연구원 B551180 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 R9 우주·항공·천문·해양 nan 해양공학 nan nan
1351900049,대우조선해양(주),EQU 장방형 대형 후곡판용 점진적 롤 성형 시스템 개발 1415093119.0 2.01e+19 NFEC-2009-10-074800 2008.0 2008.0 N38 지식경제부 2.01E+15 지역전략산업진흥 ZC86312 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 41200.0 지능형 생산시스템 기술 F8 기계 nan 측정표준·시험평가 기술 nan nan
1351900049,관동대학교 산학협력단,EQU 첨단해양공간개발연구센터 1415112860.0 2.01e+19 NFEC-2010-12-130383 2010.0 2010.0 N38 지식경제부 201007442010304B 지역특화산업육성 7007731 50412.0 연안생태계 복원기술 30800.0 자연재해 예측 및 저감기술 O99 기타 환경 O06 해양환경 nan nan
1351900049,한국건설기술연구원,EQU 항공기 충돌을 고려한 격납건물용 Fiber 콘크리트 적용기술 개발 1345139743.0 2.01e+19 NFEC-2012-06-163816 2011.0 2010.0 N15 교육과학기술부 2.01E+15 원자력기술개발사업 B090023 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 N09 원전 건설/운영기술 nan nan nan nan
1351900049,한양대학교,EQU 그린에너지 및 지구온난화 대응 융합기술 1345101522.0 2.01e+19 NFEC-2011-03-145236 2010.0 2009.0 N15 교육과학기술부 200807022400300A 세계수준의 연구중심대학육성(일반-이공계) 7002282 50214.0 연료전지기술 31300.0 에너지 소재기술 I03 고분자재료 C08 전기화학 I02 세라믹재료
1351900049,(주)대우건설,EQU (세부2)에너지환경 대응형 복합 외피 창호/공조 시스템 기술 1415104261.0 2.01e+19 NFEC-2011-01-135822 2009.0 2009.0 N38 지식경제부 U40005 에너지자원기술개발지원 ZA13580 50218.0 기타 에너지기술 41000.0 기존건물 수명연장 기술 M99 기타 에너지/자원 nan nan nan nan
1351900049,대우버스(주),EQU (세부2)시리즈 HEV 버스용 고효율 전동시스템 개발 1415104114.0 2.01e+19 NFEC-2011-01-139518 2010.0 2009.0 N38 지식경제부 U40005 에너지자원기술개발지원 AAJ0106 50218.0 기타 에너지기술 40100.0 차세대 자동차 (지능형· 하이브리드·연료전지 자동차) 기술 J01 화학공정 nan nan nan nan
