BusinessNum,PublicationAgency,MergedText
1178107908,액터스네트웍스(주),IoT 구축을 위한 초고신뢰성 패킷네트워크 개발의 사실 표준화 대한민국 1711055635.0 IoT 구축을 위한 초고신뢰성 패킷네트워크 개발의 사실 표준화 조광호
1058704690,(주)에이티지랩,커넥티드카 모빌리티 실시간 서비스를 위한 엣지 클라우드 플랫폼개발 대한민국 1711073802.0 커넥티드카 모빌리티 실시간 서비스를 위한 엣지 클라우드 플랫폼개발 정진용
1058704690,(주)에이티지랩,현장용 전자기록 이관기법 및 대용량 전자기록 이관·분석 방안 연구 대한민국 1315001288.0 디지털포렌식 기반 현장용 전자기록이관도구 고도화 개발 및 대용량 전자기록 이관분석 시스템 류병걸
1058704690,(주)에이티지랩,국가직무능력표준(NCS) 기반 게임화된 대규모 온라인 소프트웨어 개발학습 솔루션 개발 대한민국 1425103130.0 국가직무능력표준(NCS) 기반 게임화된 대규모 온라인 소프트웨어 개발학습 솔루션 개발 최재호
1058704690,(주)에이티지랩,고객 몰입도 향상을 위한 중소사업자용 맞춤형 게이미피케이션 프레임워크 기술개발 대한민국 1425087950.0 고객 몰입도 향상을 위한 중소사업자용 맞춤형 게이미피케이션 프레임워크 기술개발 정진용
1148600418,하람아이,창업 및 중소기업 R&D 결과물의 사업화 성공을 위한 대화형 커머스 플랫폼 개발 대한민국 1425124268.0 창업 및 중소기업 R&D 결과물의 사업화 성공을 위한 대화형 커머스 플랫폼 개발 안재석
1470204046,(주)바른기술,Non-IP 기기와 IP기반 홈기기간 상호 운용성 지원 UPnP 플록시서버와 통합 보안 시스템 개발 대한민국 1415100687.0 Non-IP  및 IP 기반 홈기기간 상호운용성 보장 UPnP 프록시 서버와 통합 보안 시스템 개발 박채민
1470204046,(주)바른기술,산업용 대용량 보일러의 이상 상태 예측 시스템 개발 대한민국 1415143528.0 산업용 대용량 보일러의 이상 상태 예측 시스템 개발 박채민
1470204046,(주)바른기술,고속 멀티미디어 서비스 특화의 NAPT 가속기 기반 홈서버/게이트웨이 개발 대한민국 1445006307.0 고속 멀티미디어 서비스 특화의 NAPT 가속기 기반 홈서버/게이트웨이 개발 박채민
1470204046,(주)바른기술,댁내외 이질적 IoT 프로토콜간 상호연동 문제의 해결 및 협업 서비스 시스템 개발 대한민국 1425106339.0 댁내외 이질적 IoT 프로토콜간 상호연동 문제의 해결 및 협업 서비스 시스템 개발 박채민
1470204046,(주)바른기술,월패트형 방송통신 융합 홈 게이트웨이 서버 개발 대한민국 1425064392.0 월패드형 방송통신 융합 홈 게이트웨이 서버 개발 박채민
1470204046,(주)바른기술,국가표준규격 적용한 홈 네트워크 상호연동 스마트 홈네트워크 서비스 대한민국 1425073557.0 국가표준규격 적용한 홈네트워크 상호연동 스마트 홈네트워크 서비스 박채민
1051803993,세안,공동주택 층간소음 방지용 건축 내장재 상용화 기반 구축 연구 대한민국 1711045818.0 공동주택 층간소음 방지용 건축 내장재 상용화 기반 구축 연구 김순철
5688700744,케이에스랩(주),Amino-Triazolinone의 친환경적이고 공업적인 제조방법 개발 대한민국 1425061374.0 Amino-Triazolinone의 친환경적이고 공업적인 제조방법 개발 김근식
4668601446,에이원,견인기능을 포함한 정형용 다기능 교정장치 개발 대한민국 1425126083.0 견인기능을 포함한 정형용 다기능 교정장치 개발 지경수
5940900141,(주)모아,리싸이클용 이차전지 배터리팩 개발 대한민국 1425115897.0 리싸이클용 이차전지 배터리팩 개발 안효명
1128104294,제이디,Li-Polymer Battery Sealing 비파괴 검사용 시스템 개발 대한민국 1425126267.0 Li-Polymer Battery Sealing 비파괴 검사용 시스템 개발 조승래
1128104294,제이디,Li-Polymer Battery Sealing 비파괴 검사용 시스템 개발 대한민국 1425114727.0 Li-Polymer Battery Sealing 비파괴 검사용 시스템 개발 조승래
5458102708,브라운백커피,커피 선택 프레임워크 기반 원두커피 추천 및 구매지원서비스 대한민국 1425110335.0 원두 커피 유통 구조를 혁신하고 수입 대체 효과와 수출을 동시에 공략하기 위한 '추천 알고리즘 및 인공지능 기반 원두 커피 추천 서비스' 손종수
1243401469,트위니,양방향 비전 인식 기술을 활용한 실내 자율주행 물류기차 연구개발 대한민국 1711103152.0 양방향 비전 인식 기술을 활용한 실내 자율주행 물류 기차 연구개발 천홍석
1243401469,트위니,양방향 비전 인식 기술을 활용한 실내 자율주행 물류 기차 연구개발 대한민국 1711103152.0 양방향 비전 인식 기술을 활용한 실내 자율주행 물류 기차 연구개발 천홍석
8138100244,아하플래닛(주),삼채와 찰보리를 이용한 가정간편식(HMR) 쌀국수 시제품 개발 대한민국 1395062525.0 삼채와 찰보리를 이용한 가정간편식(HMR) 쌀국수 시제품 개발 전동우
5058101789,아이디(주),차량 탑재가 가능한 보행 도우미 모빌리티 플랫폼 디자인 기술 개발을 통한 기업 역량 강화 대한민국 1415148496.0 차량 탑재가 가능한 보행 도우미 모빌리티 플랫폼 디자인 기술 개발을 통한 기업 역량 강화 김귀성
5058101789,(주)아이디,고휘도 Line LED array (LLA) 모듈개발 대한민국 1425082285.0 고휘도 Line LED array (LLA) 모듈개발 문현찬
1111202274,에스엔티(주),특수 Li/SOCl2 BATTERY 제조용 synchronize(+극/-극)용접 자동화 시스템 개발 대한민국 1425075964.0 특수 Li/SOCl2 BATTERY 제조용 synchronize(+극/-극)용접 자동화 시스템 개발 강원순
1111202274,(유)에스엔티,결정질 실리콘 태양전지 저가·고효율화 및 제조장비 개발 대한민국 1415113637.0 결정질 실리콘 태양전지 저가·고효율화 및 제조 장비 개발 허윤성
1111202274,(주)에스엔티,멤브레인 밸브를 이용한 리튬전지 전해액 자동주입 시스템 개발 대한민국 1415135868.0 멤브레인 밸브를 이용한 리튬전지 전해액 자동주입 시스템 개발 강원순
1111202274,에스엔티(주),유압밸브용 유압공급설비 시스템 개발 대한민국 1425085752.0 유압밸브용 유압공급설비 시스템 개발 강원순
1111202274,(주)에스엔티,54Gauge급 초박환편기술을 이용한 100g/m² 이하급 4-way stretchable 3-layer Softshell 제품 개발 대한민국 1425103837.0 54Gauge급 초박환편기술을 이용한 100g/m2 이하급 4-way stretchable 3-layer Softshell 제품 개발 유재형
1100200009,대상(주),폴리아마이드 510의 단량체 카다베린의 생물학적 생산기술 및 바이오 폴리아마이드 510 중합기술 개발 대한민국 1415156005.0 폴리아마이드 510의 단랑체 카다베린의 생물학적 생산기술 및 바이오 폴리아마이드 510 중합기술개발 김일권
1100200009,대상(주),산업 바이오를 이용한 피롤리돈 생산기술 개발 대한민국 1415129724.0 산업 바이오를 이용한 피롤리돈 생산기술 개발 박동철
1100200009,대상(주),C3 플랫폼 화합물 제조 및 정제기술 개발 대한민국 1415124795.0 C3 플랫폼 화합물 제조 및 정제기술 개발 박동철
5808602038,(주)가온테크,공기 대 공기 열교환기 보호용 케이스 제조 방식 및 조립 공정 개선 대한민국 1425087637.0 공기 대 공기 열교환기 보호용 케이스 제조 방식 및 조립 공정 개선 송길섭
