title,overview,cosine_similarity
에스케이텔레콤(주),5G 기반 실감 미디어 및 응용 서비스 실증 대한민국 1711058529.0 5G 기반 실감 미디어 및 응용 서비스 실증 장홍성EQU 양자암호통신망 구축을 통한 신뢰성 검증기술 및 QKD 고도화를 위한 핵심요소기술 개발 1711042435.0 2.02e+19 NFEC-2017-02-236295 2017.0 2016.0 P12 미래창조과학부 3.10E+18 IT·SW융합산업원천기술개발(R&D) ABY3350 10214.0 기타 네트워크기술 10102.0 신개념 컴퓨팅 기술(양자·뉴로 등) EE0699 달리 분류되지 않는 이동통신 nan nan nan nan,"0.5455973056589628,0.5455973056589628,0.48051524096816045,0.48051524096816045,0.14988774254368467,0.14828378681302126,0.14720113593158973,0.1457891111625058,0.1451765679759067,0.14434780363242317"
에스케이텔레콤(주),통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구 대한민국 1711043011.0 통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구 곽승환EQU 양자암호통신망 구축을 통한 신뢰성 검증기술 및 QKD 고도화를 위한 핵심요소기술 개발 1711042435.0 2.02e+19 NFEC-2017-02-236295 2017.0 2016.0 P12 미래창조과학부 3.10E+18 IT·SW융합산업원천기술개발(R&D) ABY3350 10214.0 기타 네트워크기술 10102.0 신개념 컴퓨팅 기술(양자·뉴로 등) EE0699 달리 분류되지 않는 이동통신 nan nan nan nan,"0.9730549239661198,0.538981549805396,0.538981549805396,0.48051524096816045,0.12577908200373272,0.11770174375704413,0.11770174375704413,0.11438078969785032,0.11160288017073236,0.11076675402734856"
에스케이텔레콤(주),양자암호통신 네트워크 구축을 위한 요소기술 개발 대한민국 1711026471.0 양자암호통신 네트워크 구축을 위한 요소기술 개발 조석범EQU 양자암호통신망 구축을 통한 신뢰성 검증기술 및 QKD 고도화를 위한 핵심요소기술 개발 1711042435.0 2.02e+19 NFEC-2017-02-236295 2017.0 2016.0 P12 미래창조과학부 3.10E+18 IT·SW융합산업원천기술개발(R&D) ABY3350 10214.0 기타 네트워크기술 10102.0 신개념 컴퓨팅 기술(양자·뉴로 등) EE0699 달리 분류되지 않는 이동통신 nan nan nan nan,"0.9693320338182133,0.5455973056589628,0.538981549805396,0.538981549805396,0.16429431471311665,0.16429431471311665,0.15965875151810374,0.15461408952006678,0.14734125612699148,0.14337445011587907"
에이케이켐텍(주),환경친화적 천연원료 유래 인체적합형 생체계면활성제 소재 및 제품 개발 대한민국 1415147562.0 환경친화적 천연원료 유래 인체적합형 생체계면활성제 소재 및 제품 개발 김병조EQU 반도체 디스플레이 공정용 불소계 계면활성제 제조기술 개발 1415168859.0 2.02e+19 NFEC-2021-03-269113 2021.0 2020.0 P21 산업통상자원부 B10775 소재부품기술개발 ACA2679 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 120101.0 위의 중점과학기술에 속하지 않는 기타 연구 EC0506 계면활성제 nan nan nan nan,"0.5011111099657508,0.1377512180872644,0.1304683794870919,0.12832568706181477,0.12700687141637618,0.12611573166953188,0.12444724358673921,0.12376347760768237,0.12345383870219444,0.12332740797913609"
에이케이켐텍(주),생분해성이 우수한 환경 친화적 생체계면활성제의 개발 대한민국 1415108835.0 생분해성이 우수한 환경 친화적 생체계면활성제의 개발 김병조EQU 반도체 디스플레이 공정용 불소계 계면활성제 제조기술 개발 1415168859.0 2.02e+19 NFEC-2021-03-269113 2021.0 2020.0 P21 산업통상자원부 B10775 소재부품기술개발 ACA2679 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 120101.0 위의 중점과학기술에 속하지 않는 기타 연구 EC0506 계면활성제 nan nan nan nan,"0.5011111099657508,0.13843477053845113,0.13701206285272594,0.13605072199263255,0.1342507958034489,0.13351316494730447,0.1331791336881509,0.13304274316076448,0.13293507232076554,0.1326122218769202"
(주)케이씨,선체부식방지 시스템의 기준전극 및 양극 제조공정 개선 대한민국 1425113760.0 선체부식방지 시스템의 기준전극 및 양극 제조공정 개선 전용진EQU 복합형 능동 접지장치 1415133239.0 2.01e+19 NFEC-2014-12-194029 2014.0 2013.0 P21 산업통상자원부 5.71E+22 지역특화산업육성 ZA61167 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 nan nan EA1099 달리 분류되지 않는 조선/해양시스템 nan nan nan nan,"0.9697263903303023,0.4300253184377323,0.3707408537915777,0.13612140504403883,0.1347224720419136,0.13377719602423993,0.1320073481681395,0.1312820437655556,0.1308194831364732,0.13071361156991582"
(주)케이씨,다중 구역 제어형 부식 방지 시스템 개발 대한민국 1415124869.0 다중 구역 제어형 부식 방지 시스템 개발 이승환EQU 복합형 능동 접지장치 1415133239.0 2.01e+19 NFEC-2014-12-194029 2014.0 2013.0 P21 산업통상자원부 5.71E+22 지역특화산업육성 ZA61167 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 nan nan EA1099 달리 분류되지 않는 조선/해양시스템 nan nan nan nan,"0.4481394634937053,0.3707408537915777,0.3707408537915777,0.13201999253576188,0.13066321015139803,0.12974641581800764,0.12802989444742507,0.12732644386385011,0.12687782043993642,0.1267751388416813"
(주)케이씨,자동제어 전위 벨런싱 시스템 개발 대한민국 1425126185.0 자동제어 전위 벨런싱 시스템 개발 김상훈EQU 복합형 능동 접지장치 1415133239.0 2.01e+19 NFEC-2014-12-194029 2014.0 2013.0 P21 산업통상자원부 5.71E+22 지역특화산업육성 ZA61167 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 nan nan EA1099 달리 분류되지 않는 조선/해양시스템 nan nan nan nan,"0.4481394634937053,0.4329394164013071,0.4300253184377323,0.4300253184377323,0.15313105839221572,0.1515573155178608,0.15049391834669357,0.1485029113091877,0.14768697328101155,0.14716661133882436"
(주)케이씨,선체부식방지 시스템의 기준전극 및 양극 제조공정 개선 대한민국 1425126460.0 선체부식방지 시스템의 기준전극 및 양극 제조공정 개선 전용진EQU 복합형 능동 접지장치 1415133239.0 2.01e+19 NFEC-2014-12-194029 2014.0 2013.0 P21 산업통상자원부 5.71E+22 지역특화산업육성 ZA61167 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 nan nan EA1099 달리 분류되지 않는 조선/해양시스템 nan nan nan nan,"0.9697263903303023,0.4300253184377323,0.3707408537915777,0.13612140504403883,0.1347224720419136,0.13377719602423993,0.1320073481681395,0.1312820437655556,0.1308194831364732,0.13071361156991582"
케이씨(주),"지르콘샌드 활용 고품위 지르코니아 소재 및 응용제품 기술 개발 대한민국 1415152644.0 지르콘샌드 활용 고품위 지르코니아 소재 및 응용제품 기술 개발 김대웅EQU 전자 산업용 특수 알루미나(고순도, 저소다)제조 및 공정개발 1415078122.0 2.01e+19 NFEC-2009-10-073681 2008.0 2007.0 38 산업자원부 2.01E+13 지역전략산업진흥 ZD03741 30211.0 나노소재기술(나노분말소재, 광학용 나노소재, 고기능 시너지 소재, 촉매·환경·기능소재에 중점) 41800.0 고기능 세라믹 소재기술 G2 재료 nan 세라믹재료 nan nan","0.5719099326094494,0.18169955984633357,0.17488665144306823,0.1742067298443341,0.17165561416523495,0.17154161455838962,0.17152808089165061,0.17133867829634158,0.16826607384072495,0.16454444792456543"
케이씨(주),"자동제어 전위 벨런싱 시스템 개발 대한민국 1425113770.0 자동제어 전위 벨런싱 시스템 개발 김상훈EQU 전자 산업용 특수 알루미나(고순도, 저소다)제조 및 공정개발 1415078122.0 2.01e+19 NFEC-2009-10-073681 2008.0 2007.0 38 산업자원부 2.01E+13 지역전략산업진흥 ZD03741 30211.0 나노소재기술(나노분말소재, 광학용 나노소재, 고기능 시너지 소재, 촉매·환경·기능소재에 중점) 41800.0 고기능 세라믹 소재기술 G2 재료 nan 세라믹재료 nan nan","0.5719099326094494,0.4329394164013071,0.18869607156158485,0.18548398799943322,0.17524622420385347,0.17366555200145067,0.1734737891944872,0.17074960590462576,0.1643472710508393,0.15710737319042886"
(주)피코씨이엘,USB2.0 PHY IP 설계 및 파운드리 포팅 대한민국 1425050945.0 유에스비2.0 파이 아이피 설계 및 파운드리 포팅 장유성EQU 5Gbps급 USB3.0 슈퍼 스피드 인터페이스 기술 개발 및 이를 적용한 USB3.0 플래시 드라이브 SoC 개발 1415115643.0 2.01e+19 NFEC-2012-09-170198 2011.0 2011.0 N38 지식경제부 W00213 글로벌전문기술개발(정보통신) ZA67961 10112.0 집적회로기술 10400.0 반도체·나노 신소자 기술 K04 반도체소자/시스템 nan nan nan nan,"0.1741029958826001,0.16338813759796772,0.1520423969007881,0.13785020705487866,0.10833654854046429,0.10538366738948114,0.1029581245378271,0.10115433287362163,0.09664346443304775,0.09285573713965102"
(주)신성이엔지,상업용 결정질 고효율 태양전지 구조 및 요소기술 개발 대한민국 1425111002.0 상업용 결정질 고효율 태양전지 구조 및 요소기술 개발 홍근기EQU 고효율 초박형 FFU시스템 개발 1415082404.0 2.01e+19 NFEC-2009-10-074320 2008.0 2007.0 38 산업자원부 2.01E+13 에너지자원기술개발 ZA35677 50218.0 기타 에너지기술 31400.0 에너지 절약형 반응 및 분리공정기술 F3 기계 nan 에너지·환경·의료기계 nan nan,"0.4948889580469662,0.16987468846338805,0.1631253950075946,0.1526081084001028,0.1417681245501893,0.14015752763207273,0.13390010776357186,0.12950955688211327,0.12937855453637265,0.12875157678287621"
(주)신성이엔지,클린 에너지 기반 대표 스마트공장 고도화 운영 시스템 개발 대한민국 1415152938.0 클린 에너지 기반의 스마트 공장 고도화 운영시스템 개발 오동훈EQU 고효율 초박형 FFU시스템 개발 1415082404.0 2.01e+19 NFEC-2009-10-074320 2008.0 2007.0 38 산업자원부 2.01E+13 에너지자원기술개발 ZA35677 50218.0 기타 에너지기술 31400.0 에너지 절약형 반응 및 분리공정기술 F3 기계 nan 에너지·환경·의료기계 nan nan,"0.4948889580469662,0.1785788704707691,0.1779391354710486,0.16479795956774887,0.16093911473353031,0.1537576093909907,0.15285452519066603,0.15198010132546833,0.15174195124943193,0.15043286242148274"
(주)위드텍,질량분석 기술을 이용한 대기유해 물질 소형 측정기 개발 대한민국 1480000165.0 질량 분석기술을 이용한 대기유해물질 소형 측정기 개발 유승교EQU 이동형 원전 해체 방사성폐기물 핵종분석 설비 개발 1415168468.0 2.02e+19 NFEC-2021-03-269281 2021.0 2020.0 P21 산업통상자원부 B00032 원자력핵심기술개발 ZA49154 50116.0 기타 환경기반기술 90302.0 원자력 환경방호 기술 EG0302 계측/제어 시스템 기술 EG0705 방사선 계측/선량평가기술 EG0699 달리 분류되지 않는 핵연료주기/ 방사성 폐기물 관리기술,"0.5878490972465966,0.5696441708485528,0.43589467670828513,0.11148910810219922,0.1085513986656663,0.10390529326208173,0.10248366796318893,0.10198072686846958,0.1011619875216544,0.0989116176797185"
(주)위드텍,"의류의 속성건조/위생살균/주름제거/방향 기능으로 최적상태를 유지시키며, 자동 높이조절로 공간효율성을 높인 스마트 의류건조‧관리기 개발 대한민국 1425118999.0 의류의 속성건조/위생살균/주름제거/방향 기능으로 최적상태를 유지시키며, 자동 높이조절로 공간효율성을 높인 스마트 의류 건조·관리기 개발 정용덕EQU 이동형 원전 해체 방사성폐기물 핵종분석 설비 개발 1415168468.0 2.02e+19 NFEC-2021-03-269281 2021.0 2020.0 P21 산업통상자원부 B00032 원자력핵심기술개발 ZA49154 50116.0 기타 환경기반기술 90302.0 원자력 환경방호 기술 EG0302 계측/제어 시스템 기술 EG0705 방사선 계측/선량평가기술 EG0699 달리 분류되지 않는 핵연료주기/ 방사성 폐기물 관리기술","0.44659891029483023,0.43589467670828513,0.39521942361320433,0.08147251704630618,0.07335615941032758,0.07299616227272035,0.06823363384842429,0.06821631681020911,0.06745096194257634,0.06666584645110814"
(주)위드텍,고감도 하이드라진 소디움 온라인 자동 분석기 신제품 개발 대한민국 1425067167.0 고감도 하이드라진 소디움 온라인 자동 분석 시스템 개발 유승교EQU 이동형 원전 해체 방사성폐기물 핵종분석 설비 개발 1415168468.0 2.02e+19 NFEC-2021-03-269281 2021.0 2020.0 P21 산업통상자원부 B00032 원자력핵심기술개발 ZA49154 50116.0 기타 환경기반기술 90302.0 원자력 환경방호 기술 EG0302 계측/제어 시스템 기술 EG0705 방사선 계측/선량평가기술 EG0699 달리 분류되지 않는 핵연료주기/ 방사성 폐기물 관리기술,"0.5878490972465966,0.5332219086140639,0.44659891029483023,0.11157269515910681,0.10698395867240379,0.10375846322567506,0.0967085711397313,0.09531444805013578,0.09479267258153691,0.0941474242710775"
(주)위드텍,반도체제조장치 Wet 공정용 용액의 화학조성 모니터링장치개발 대한민국 1425063956.0 반도체제조장치 Wet 공정용 용액의 화학조성 모니터링장치개발 유승교EQU 이동형 원전 해체 방사성폐기물 핵종분석 설비 개발 1415168468.0 2.02e+19 NFEC-2021-03-269281 2021.0 2020.0 P21 산업통상자원부 B00032 원자력핵심기술개발 ZA49154 50116.0 기타 환경기반기술 90302.0 원자력 환경방호 기술 EG0302 계측/제어 시스템 기술 EG0705 방사선 계측/선량평가기술 EG0699 달리 분류되지 않는 핵연료주기/ 방사성 폐기물 관리기술,"0.5696441708485528,0.5332219086140639,0.39521942361320433,0.11839907518953202,0.10975308162886743,0.0878785748057759,0.08093571595799028,0.07926609701129325,0.0785818555449915,0.07839029468415003"
대영산업(주),특수 감열지용 현색제 및 감열잉크 개발 대한민국 1425073636.0 특수 감열지용 현색제 및 감열잉크 개발 정지헌EQU 특수 감열지용 현색제 및 감열잉크 개발 1425073636.0 2.01e+19 NFEC-2013-01-174663 2012.0 2012.0 N30 중소기업청 S2011 기술혁신개발사업 AAJ1971 50313.0 유해성 원부재료 대체기술 41600.0 나노 소재·소자기술 J0508 첨가제 nan nan nan nan,"0.522853172861732,0.49960643416578243,0.49194774129368596,0.4761065254656202,0.4662539028117773,0.43383240108613697,0.36403285916048456,0.1133118541091519,0.09918729908902131,0.08590512006104324"
대영산업(주),메타메리즘이 없고 심색 구현이 가능한 고세탁 BLUE 분산염료 개발을 통한 고세탁 BLACK 제품 개선 대한민국 1425118174.0 메타메리즘이 없고 심색 구현이 가능한 고세탁 BLUE 분산염료 개발을 통한 고세탁 BLACK 제품 개선 이규환EQU 특수 감열지용 현색제 및 감열잉크 개발 1425073636.0 2.01e+19 NFEC-2013-01-174663 2012.0 2012.0 N30 중소기업청 S2011 기술혁신개발사업 AAJ1971 50313.0 유해성 원부재료 대체기술 41600.0 나노 소재·소자기술 J0508 첨가제 nan nan nan nan,"0.5316059971653551,0.36403285916048456,0.2789418395326791,0.27049770800376505,0.24220116184679855,0.2384883507519077,0.21211253649745812,0.0780113185581822,0.07455461462125172,0.0727549529312396"
대영산업(주),천연염색용 콩 단백질을 활용한 고수율/고견뢰성 대량생산 사염기술 개발 대한민국 1425133684.0 천연염색용 콩 단백질을 활용한 고수율/고견뢰성 대량생산 사염 기술 개발 박노정EQU 특수 감열지용 현색제 및 감열잉크 개발 1425073636.0 2.01e+19 NFEC-2013-01-174663 2012.0 2012.0 N30 중소기업청 S2011 기술혁신개발사업 AAJ1971 50313.0 유해성 원부재료 대체기술 41600.0 나노 소재·소자기술 J0508 첨가제 nan nan nan nan,"0.49194774129368596,0.35339741503913386,0.3450939616918003,0.3054562837257501,0.2993395731633972,0.28421602949903113,0.2384883507519077,0.10904972615911263,0.10774048457212802,0.10159694823517322"
대영산업(주),감압치즈염색기를 이용한 재현성 있는 천연 쪽 염색 자동화 공정 개발 대한민국 1425072379.0 감압치즈염색기를 이용한 재현성 있는 천연 쪽 염색 자동화 공정 개발 박노정EQU 특수 감열지용 현색제 및 감열잉크 개발 1425073636.0 2.01e+19 NFEC-2013-01-174663 2012.0 2012.0 N30 중소기업청 S2011 기술혁신개발사업 AAJ1971 50313.0 유해성 원부재료 대체기술 41600.0 나노 소재·소자기술 J0508 첨가제 nan nan nan nan,"0.49960643416578243,0.35339741503913386,0.3504664198672607,0.31021165846688753,0.30399972232740025,0.28864073378476623,0.24220116184679855,0.11350181430452917,0.11350181430452916,0.1094177994817541"
대영산업(주),친환경 ECO 적색 분산염료 개발을 통한 날염용 BLACK 제품 개선 대한민국 1425109569.0 친환경 ECO 적색 분산염료 개발을 통한 날염용 BLACK 제품 개선 이규환EQU 특수 감열지용 현색제 및 감열잉크 개발 1425073636.0 2.01e+19 NFEC-2013-01-174663 2012.0 2012.0 N30 중소기업청 S2011 기술혁신개발사업 AAJ1971 50313.0 유해성 원부재료 대체기술 41600.0 나노 소재·소자기술 J0508 첨가제 nan nan nan nan,"0.5316059971653551,0.4662539028117773,0.35726918069852576,0.3464539227289796,0.31021165846688753,0.3054562837257501,0.2716740961387936,0.13722095892574615,0.10796231137235038,0.10775411547258539"
대영산업(주),"폴리에스테르/레이온 혼방섬유용 BLACK염료 및 염색공정 개발 대한민국 1415136428.0 폴리에스테르,레이온 혼방섬유용 BLACK염료 및 염색공정 개발 이규환EQU 특수 감열지용 현색제 및 감열잉크 개발 1425073636.0 2.01e+19 NFEC-2013-01-174663 2012.0 2012.0 N30 중소기업청 S2011 기술혁신개발사업 AAJ1971 50313.0 유해성 원부재료 대체기술 41600.0 나노 소재·소자기술 J0508 첨가제 nan nan nan nan","0.522853172861732,0.4094029461940841,0.3504664198672607,0.3464539227289796,0.3450939616918003,0.30207121677385235,0.27049770800376505,0.11450902092986322,0.10023523661011216,0.0868127281862023"
대영산업(주),"압연선재(고탄소강,FLAT STEEL WIRE)의 표면 코팅설비개발 및 양산성 확보 대한민국 1425061414.0 압연선재 (고탄소강, FLAT STEEL WIRE)의 표면 코팅설비개발 및 양산성 확보 이병석EQU 특수 감열지용 현색제 및 감열잉크 개발 1425073636.0 2.01e+19 NFEC-2013-01-174663 2012.0 2012.0 N30 중소기업청 S2011 기술혁신개발사업 AAJ1971 50313.0 유해성 원부재료 대체기술 41600.0 나노 소재·소자기술 J0508 첨가제 nan nan nan nan","0.43383240108613697,0.30207121677385235,0.28864073378476623,0.28421602949903113,0.2716740961387936,0.2620210120476922,0.21211253649745812,0.07483675933579945,0.07324378282085077,0.06212885398439561"
대영산업(주),폴리에스테르/스판덱스 섬유의 황변 개선을 위한 BLACK 염료 개선품 개발 대한민국 1425080770.0 폴리에스테르/스판덱스 섬유의 황변 개선을 위한 BLACK 염료 개선품 개발 정지헌EQU 특수 감열지용 현색제 및 감열잉크 개발 1425073636.0 2.01e+19 NFEC-2013-01-174663 2012.0 2012.0 N30 중소기업청 S2011 기술혁신개발사업 AAJ1971 50313.0 유해성 원부재료 대체기술 41600.0 나노 소재·소자기술 J0508 첨가제 nan nan nan nan,"0.4761065254656202,0.4094029461940841,0.35726918069852576,0.30399972232740025,0.2993395731633972,0.2789418395326791,0.2620210120476922,0.1014325828168668,0.09932680734389748,0.08805038263799668"
(주)아스타,질량분석용 바이오시료 분리 및 처리 Kit개발 대한민국 1425063979.0 질량분석용 바이오시료 분리 및 처리 Kit개발 김양선EQU OLED 유기소재 구조 및 안정성 분석을 위한 질량 분석 시스템 개발 1415172446.0 2.02e+19 NFEC-2021-11-274343 2021.0 2021.0 P21 산업통상자원부 B10057 전자부품산업기술개발 ZA38558 10113.0 차세대디스플레이기술 110202.0 대면적·초고속·초정밀 디스플레이 소재·공정 및 장비 기술 ED1010 디스플레이 측정/검사장비 nan nan nan nan,"0.5294964353012382,0.49417425001265913,0.4468808241704738,0.41547380715624793,0.16814282880789222,0.14742630984713345,0.133005910022967,0.12703194458451794,0.12276815801162703,0.12137906126214146"
(주)아스타,고기능성 ion source module을 포함한 의료용 질량분석시스템 개발 대한민국 1415123709.0 고기능성 ion source module을 포함한 의료용 질량분석시스템 개발 김양선EQU OLED 유기소재 구조 및 안정성 분석을 위한 질량 분석 시스템 개발 1415172446.0 2.02e+19 NFEC-2021-11-274343 2021.0 2021.0 P21 산업통상자원부 B10057 전자부품산업기술개발 ZA38558 10113.0 차세대디스플레이기술 110202.0 대면적·초고속·초정밀 디스플레이 소재·공정 및 장비 기술 ED1010 디스플레이 측정/검사장비 nan nan nan nan,"0.49417425001265913,0.48934494248069615,0.4127150010051559,0.3840326361546646,0.16005586055583507,0.1405946836519729,0.12618276253816282,0.12378913087039607,0.12137626153441652,0.11838322866073145"
