,BusinessNum,KorNumber,docdbFamilyID,applicationCountryCode,applicationDate,applicationKindCode,BizNo,publicationCountryCode,publicationDate,publicationKindCode,publicationNumber
32561,1178101784,1.02E+12,65017515,JP,2018-06-25,A,2019569842,JP,2020-08-27,A,2020524999
32562,1178101784,1.02E+12,65017515,US,2021-02-15,A,2.02E+11,US,2021-06-10,A1,2021169944
32563,1178101784,1.02E+12,65017515,JP,2021-02-02,A,2021015089,JP,2021-05-13,A,2021073276
32564,1178101784,1.02E+12,57080496,CN,2016-03-11,A,2.02E+11,CN,2022-01-14,B,107750161
32565,1178101784,1.02E+12,57080496,EP,2016-03-11,A,16762026,EP,2018-04-18,A4,3269378
32566,1178101784,1.02E+12,44920491,KR,2016-03-11,A,20160029638,KR,2017-05-02,B1,101730607
32567,1178101784,1.02E+12,44920491,KR,2016-03-11,A,20160029646,KR,2016-03-24,A,20160032722
32568,1178101784,1.02E+12,66285189,CN,2018-09-13,A,2.02E+11,CN,2020-07-14,A,111417732
32569,1178101784,1.02E+12,66285189,JP,2018-09-13,A,2020520015,JP,2020-12-24,A,2020537519
32570,1178101784,1.02E+12,,,,,,,,,
32571,1178101784,1.02E+12,,,,,,,,,
32572,1178101784,1.02E+12,54868062,AU,2015-05-19,A,2015262214,AU,2016-11-10,A1,2015262214
32573,1178101784,1.02E+12,54868062,EP,2015-05-19,A,15796520,EP,2017-05-10,A1,3165227
32574,1178101784,1.02E+12,61729302,KR,2017-12-20,W,2017015115,WO,2018-07-05,A1,2018124606
32575,1178101784,1.02E+12,61726830,US,2017-12-21,A,2.02E+11,US,2020-05-21,A1,2020157608
32576,1178101784,1.02E+12,61726830,EP,2017-12-21,A,17888390,EP,2020-08-19,A4,3561069
32577,1178101784,1.02E+12,67949896,JP,2019-02-27,A,2020545158,JP,2021-06-17,A,2021514989
32578,1178101784,1.02E+12,67776349,CN,2019-12-18,A,2.02E+11,CN,2021-07-30,A,113195722
32579,1178101784,1.02E+12,44920491,KR,2011-01-04,A,20110000661,KR,2016-06-13,B1,101629525
32580,1178101784,1.02E+12,44920491,KR,2016-09-08,A,20160115662,KR,2016-09-21,A,20160110336
32581,1178101784,1.02E+12,57080496,EP,2016-03-11,A,16762026,EP,2018-04-18,A4,3269378
32582,1178101784,1.02E+12,71832408,CN,2020-01-08,A,2.02E+11,CN,2021-08-20,A,113286897
32583,1178101784,1.02E+12,63253991,US,2018-02-23,A,2.02E+11,US,2020-02-20,A1,2020056226
32584,1178101784,1.02E+12,63253991,JP,2018-02-23,A,2019546206,JP,2021-08-04,B2,6914554
32585,1178101784,1.02E+12,67807255,EP,2019-02-01,A,19751779,EP,2020-12-16,A1,3751008
32586,1178101784,1.02E+12,62788345,JP,2017-12-15,A,2019531913,JP,2020-01-23,A,2020501562
32587,1178101784,1.02E+12,62788345,EP,2017-12-15,A,17880997,EP,2020-10-28,A4,3567118
32588,1178101784,1.02E+12,67469195,CN,2019-01-10,A,2.02E+11,CN,2020-08-25,A,111587295
32589,1178101784,1.02E+12,67775762,EP,2019-02-20,A,19745027,EP,2019-11-13,A1,3567125
32590,1178101784,1.02E+12,65367755,EP,2019-02-11,A,19754361,EP,2020-12-23,A1,3754032
32591,1178101784,1.02E+12,67469198,JP,2018-12-21,A,2020557894,JP,2021-04-22,A,2021510309
32592,1178101784,1.02E+12,67469198,US,2019-04-30,A,2.02E+11,US,2020-12-08,B2,10858670
32593,1178101784,1.02E+12,71142964,EP,2019-11-20,A,19894607,EP,2021-10-20,A1,3895714
32594,1178101784,1.02E+12,67950473,CN,2019-02-21,A,2.02E+11,CN,2020-11-13,A,111936640
32595,1178101784,1.02E+12,67807255,EP,2019-02-01,A,19751779,EP,2021-11-17,A4,3751008
32596,1178101784,1.02E+12,67949897,EP,2019-02-27,A,19761635,EP,2021-01-06,A1,3760743
32597,1178101784,1.02E+12,68070249,JP,2019-03-05,A,2020546410,JP,2021-07-01,A,2021516054
32598,1178101784,1.02E+12,65277483,KR,2019-01-18,W,2019000784,WO,2019-08-01,A1,2019146966
32599,1178101784,1.02E+12,44920491,KR,2016-09-08,A,20160115651,KR,2016-09-22,A,20160110911
32600,1178101784,1.02E+12,44920491,KR,2011-01-04,A,20110000661,KR,2011-07-19,A,20110082481
32601,1178101784,1.02E+12,71143305,US,2019-11-20,A,2.02E+11,US,2021-10-28,A1,2021332420
32602,1178101784,1.02E+12,71143305,CN,2019-11-20,A,2.02E+11,CN,2021-07-23,A,113166816
32603,1178101784,1.02E+12,,,,,,,,,
32604,1178101784,1.02E+12,61726830,EP,2017-12-21,A,17888390,EP,2019-10-30,A1,3561069
32605,1178101784,1.02E+12,63600881,EP,2018-02-23,A,18757726,EP,2020-12-16,A4,3587596
32606,1178101784,1.02E+12,73571072,CN,2020-04-24,A,2.02E+11,CN,2021-12-03,A,113747907
32607,1178101784,1.02E+12,57080496,KR,2016-12-08,A,20160166788,KR,2017-01-02,A,20170000369
32608,1178101784,1.02E+12,66281419,US,2018-04-26,A,2.02E+11,US,2021-06-24,A1,2021189464
32609,1178101784,1.02E+12,67776551,KR,2019-02-19,A,20190019032,KR,2020-06-15,B1,102122852
32610,1178101784,1.02E+12,66281206,EP,2018-04-25,A,18867803,EP,2021-07-07,A4,3690065
32611,1178101784,1.02E+12,71142970,BR,2019-11-20,A,1.12E+11,BR,2021-05-25,A2,1.12E+11
32612,1178101784,1.02E+12,71142970,EP,2019-11-20,A,19896521,EP,2021-10-20,A1,3896174
32613,1178101784,1.02E+12,62920367,KR,2018-10-24,A,20180127819,KR,2019-07-02,B1,101995231
32614,1178101784,1.02E+12,66285261,CN,2019-12-18,A,2.02E+11,CN,2021-08-06,A,113227377
32615,1178101784,1.02E+12,61729302,KR,2017-12-20,W,2017015115,WO,2018-07-05,A1,2018124606
32616,1178101784,1.02E+12,70291099,BR,2019-08-13,A,1.12E+11,BR,2021-05-25,A2,1.12E+11
32617,1178101784,1.02E+12,67775762,JP,2019-02-20,A,2019548319,JP,2020-05-21,A,2020513799
32618,1178101784,1.02E+12,67775762,JP,2021-07-19,A,2021118544,JP,2021-10-28,A,2021168683
32619,1178101784,1.02E+12,65323300,CN,2019-01-25,A,2.02E+11,CN,2020-09-18,A,111684080
32620,1178101784,1.02E+12,68071324,CN,2019-03-05,A,2.02E+11,CN,2020-10-23,A,111819295
32621,1178101784,1.02E+12,68070249,US,2019-03-05,A,2.02E+11,US,2021-02-04,A1,2021030821
32622,1178101784,1.02E+12,57080496,US,2016-03-11,A,2.02E+11,US,2018-03-01,A1,2018055894
32623,1178101784,1.02E+12,57080496,CN,2016-03-11,A,2.02E+11,CN,2018-03-02,A,107750161
32624,1178101784,1.02E+12,44920491,KR,2016-03-11,A,20160029638,KR,2016-04-01,A,20160036016
32625,1178101784,1.02E+12,44920491,KR,2011-01-04,A,20110000661,KR,2016-06-13,B1,101629525
32626,1178101784,1.02E+12,66285189,EP,2018-09-13,A,18866818,EP,2020-08-19,A1,3696284
32627,1178101784,1.02E+12,54868062,US,2020-03-19,A,2.02E+11,US,2020-07-16,A1,2020222470
32628,1178101784,1.02E+12,54868062,EP,2015-05-19,A,15796520,EP,2017-10-25,A4,3165227
32629,1178101784,1.02E+12,61726830,EP,2017-12-21,A,17888390,EP,2019-10-30,A1,3561069
32630,1178101784,1.02E+12,68985576,KR,2019-06-21,W,2019007538,WO,2020-01-02,A1,2020004874
32631,1178101784,1.02E+12,67469198,US,2019-04-30,A,2.02E+11,US,2020-12-08,B2,10858670
32632,1178101784,1.02E+12,67469198,KR,2018-12-10,A,20180158636,KR,2019-07-22,A,20190086351
32633,1178101784,1.02E+12,63253991,JP,2018-02-23,A,2019546206,JP,2020-03-19,A,2020508070
32634,1178101784,1.02E+12,,,,,,,,,
32635,1178101784,1.02E+12,62788345,EP,2017-12-15,A,17880997,EP,2019-11-13,A1,3567118
32636,1178101784,1.02E+12,64743822,EP,2018-04-25,A,18805473,EP,2021-03-24,A4,3636780
32637,1178101784,1.02E+12,67950473,US,2019-02-21,A,2.02E+11,US,2021-01-07,A1,2021002707
32638,1178101784,1.02E+12,67776551,KR,2020-05-26,A,20200063133,KR,2020-06-22,B1,102124794
32639,1178101784,1.02E+12,67949897,US,2019-02-27,A,2.02E+11,US,2021-01-07,A1,2021002701
32640,1178101784,1.02E+12,67949897,CN,2019-02-27,A,2.02E+11,CN,2020-10-23,A,111819292
