BusinessNum,KorNumber,docdbFamilyID,applicationCountryCode,applicationDate,applicationKindCode,BizNo,publicationCountryCode,publicationDate,publicationKindCode,publicationNumber
1058101188,2020000000000.0,19669267.0,KR,2000-05-19,A,20000027018,KR,2001-11-28,A,20010105100
1098604564,1020000000000.0,60386034.0,KR,2018-03-26,W,2018003549,WO,2018-10-25,A1,2018194282
3078104967,1020000000000.0,44366709.0,KR,2012-03-20,W,2012001975,WO,2013-01-03,A3,2012128532
1138105104,1020000000000.0,72940770.0,CN,2020-04-22,A,2.02E+11,CN,2021-12-03,A,113747834
2118701203,1020000000000.0,62184937.0,KR,2018-11-15,W,2018013966,WO,2019-05-23,A1,2019098692
1248709233,1020000000000.0,57832230.0,CN,2017-06-16,A,2.02E+11,CN,2020-09-11,B,107521461
1358600158,1020000000000.0,59281518.0,CN,2017-11-13,A,2.02E+11,CN,2018-06-29,A,108217207
4188104595,1020000000000.0,61660170.0,US,2017-11-24,A,2.02E+11,US,2020-07-09,A1,2020218926
1318107415,1020000000000.0,46887530.0,KR,2013-05-31,W,2013004824,WO,2014-01-30,A1,2014017740
1078702291,1020000000000.0,72234044.0,KR,2020-12-11,W,2020018185,WO,2021-06-17,A1,2021118304
1308603903,1020000000000.0,56499580.0,US,2016-08-18,A,2.02E+11,US,2018-08-23,A1,2018239058
5828804732,1020000000000.0,61029408.0,JP,2017-07-14,A,2017137802,JP,2018-03-15,A,2018041443
1858804609,1020000000000.0,72837372.0,KR,2019-12-20,W,2019018184,WO,2020-10-22,A1,2020213812
1328105546,1020000000000.0,40684785.0,US,2009-03-19,A,40761409,US,2010-07-22,A1,2010182429
1138100308,1020000000000.0,63048740.0,KR,2017-11-23,W,2017013385,WO,2019-01-17,A1,2019013403
4808107524,1020000000000.0,67775482.0,JP,2019-02-14,A,2020544739,JP,2021-06-17,A,2021514633
8678809562,1020000000000.0,70467991.0,US,2019-11-25,A,2.02E+11,US,2020-07-02,A1,2020208987
8248701877,1020000000000.0,76860544.0,KR,2020-10-21,W,2020014379,WO,2021-10-07,A1,2021201359
5438105492,1020000000000.0,68729655.0,KR,2019-06-17,A,20190071560,KR,2021-07-09,B1,102275702
1098600139,1020000000000.0,76135827.0,KR,2020-01-06,A,20200001419,KR,2021-05-27,A,20210061229
5818700326,1020000000000.0,72451519.0,KR,2019-09-26,W,2019012520,WO,2021-03-18,A1,2021049700
1108101047,1020000000000.0,51749012.0,KR,2014-04-03,W,2014002900,WO,2014-10-30,A1,2014175576
5433705452,1020000000000.0,47899856.0,JP,2013-02-18,A,2015529651,JP,2015-09-28,A,2015528587
2148609298,2020000000000.0,52476883.0,TW,2013-07-02,U,102212445,TW,2014-04-21,U,M476991
2208806839,1020000000000.0,52468480.0,US,2014-08-14,A,2.01E+11,US,2016-05-26,A1,2016148166
1678703863,1020000000000.0,77219965.0,CN,2020-03-13,A,2.02E+11,CN,2021-08-13,A,113245121
1068100995,1020000000000.0,72670001.0,KR,2020-04-29,W,2020005713,WO,2020-11-12,A1,2020226350
1348702926,1020000000000.0,60954035.0,KR,2017-09-08,W,2017009915,WO,2018-10-04,A1,2018182114
2648106313,1020000000000.0,65010274.0,KR,2018-12-28,W,2018016862,WO,2019-07-04,A1,2019132589
1058603820,1020000000000.0,59427782.0,KR,2017-08-28,W,2017009362,WO,2018-08-16,A1,2018147521
1188109633,1020000000000.0,71136868.0,KR,2019-11-11,W,2019015243,WO,2021-03-04,A1,2021040135
5628800529,1020000000000.0,75980667.0,KR,2019-12-16,W,2019017803,WO,2021-05-27,A1,2021100967
2018106528,1020000000000.0,40638908.0,KR,2008-11-17,W,2008006731,WO,2009-05-22,A1,2009064136
1078102117,1020000000000.0,46141967.0,CN,2012-01-20,A,2.01E+11,CN,2012-08-01,A,102615432
1378604958,1020000000000.0,52679005.0,CN,2015-07-23,A,2.02E+11,CN,2016-03-16,A,105396860
3148106765,1020000000000.0,51741824.0,KR,2014-06-20,A,20140075821,KR,2014-09-24,A,20140113617
1088104308,1020000000000.0,51867441.0,US,2018-11-21,A,2.02E+11,US,2019-05-23,A1,2019151391
1248601756,1020000000000.0,74193985.0,KR,2020-07-10,W,2020009108,WO,2021-01-28,A2,2021015468
2148708354,1020000000000.0,60297982.0,JP,2017-07-24,A,2019505392,JP,2021-03-31,B2,6853874
4528802433,1020000000000.0,69592699.0,EP,2019-01-23,A,19851235,EP,2021-06-30,A1,3843059
5777003456,1020000000000.0,70282139.0,US,2019-10-25,A,2.02E+11,US,2021-01-21,A1,2021019617
2108108758,1020000000000.0,51742173.0,KR,2014-11-11,W,2014010790,WO,2015-09-17,A1,2015137592
2558701405,1020000000000.0,71839535.0,KR,2020-07-09,W,2020008989,WO,2021-02-04,A1,2021020763
1208608793,1020000000000.0,38602072.0,JP,2007-11-26,A,2007304211,JP,2011-08-03,B2,4740925
1200109476,1020000000000.0,39216937.0,JP,2007-06-14,A,2007157709,JP,2011-11-30,B2,4824634
5148105668,1020000000000.0,72336364.0,US,2019-11-08,A,2.02E+11,US,2020-09-10,A1,2020285555
3068603376,1020000000000.0,59462838.0,US,2019-01-11,A,2.02E+11,US,2019-06-20,A1,2019188339
8148605029,1020000000000.0,37442740.0,CN,2005-10-25,A,2.01E+11,CN,2006-11-29,A,1868935
8918100430,1020000000000.0,76145703.0,KR,2020-05-25,A,20200062615,KR,2021-05-25,A,20210059592
1068108761,1020000000000.0,54845162.0,KR,2015-11-20,W,2015012516,WO,2017-01-26,A1,2017014366
1058704112,1020000000000.0,76600714.0,KR,2021-04-08,W,2021004391,WO,2021-10-14,A1,2021206461
4028104143,2020000000000.0,30439271.0,US,2003-03-20,A,39253203,US,2003-11-20,A1,2003214307
2208700575,1020000000000.0,46721055.0,KR,2011-02-25,W,2011001315,WO,2012-08-30,A1,2012115295
5598702131,1020000000000.0,74238635.0,KR,2021-08-24,A,20210111808,KR,2021-09-08,A,20210110536
1018609104,1020000000000.0,71125840.0,KR,2019-09-10,W,2019011705,WO,2020-07-02,A1,2020138652
1078100987,1020000000000.0,39410573.0,JP,2008-07-17,A,2008186055,JP,2009-02-26,A,2009044148
3388804213,1020000000000.0,65907850.0,KR,2017-10-25,W,2017011862,WO,2019-04-18,A1,2019074145
1328608223,1020000000000.0,60939587.0,EP,2016-10-31,A,16905594,EP,2019-04-24,A1,3473386
