,BusinessNum,applicantName,applicationDate,applicationNumber,inventionTitle,ipcNumber,registerNumber,registerStatus
451,1058608476,,,,,,,
452,2208805784,,,,,,,
453,1098602476,,,,,,,
454,6030502326,['에스케이텔레콤 주식회사'],2002-10-07,2.02E+12,휴대폰 단말기,['H04M 1/02'],2.00E+12,소멸
455,2718805919,,,,,,,
456,4028107719,,,,,,,
457,1351804662,,,,,,,
458,2538801250,,,,,,,
459,2138103637,,,,,,,
460,1138606690,,,,,,,
461,2118709155,,,,,,,
462,1078607880,,,,,,,
463,1018804274,,,,,,,
464,6198609097,,,,,,,
465,1218100365,,,,,,,
466,4168104411,,,,,,,
467,1238600996,,,,,,,
468,1108106547,,,,,,,
469,2748806402,,,,,,,
470,2048109389,,,,,,,
471,3158105530,,,,,,,
472,1058604287,,,,,,,
473,4328707527,,,,,,,
474,1038603678,,,,,,,
475,1058704615,,,,,,,
476,3038100130,,,,,,,
477,4398701034,,,,,,,
478,4558801185,,,,,,,
479,1078104587,,,,,,,
480,1208205110,,,,,,,
481,3128603972,,,,,,,
482,4038106678,,,,,,,
483,1078704532,,,,,,,
484,4098603120,,,,,,,
485,6208101853,,,,,,,
486,3678104705,,,,,,,
487,3788804823,,,,,,,
488,1231400906,,,,,,,
489,4188107190,,,,,,,
490,1228105945,,,,,,,
491,5038101871,,,,,,,
492,1128109147,,,,,,,
493,1358106065,,,,,,,
494,8264803025,,,,,,,
495,2018602817,,,,,,,
496,6048106300,,,,,,,
497,7018602289,,,,,,,
498,1058701491,,,,,,,
499,2218101127,,,,,,,
500,1138602016,,,,,,,
501,2208801099,,,,,,,
502,1351002779,,,,,,,
503,1198101533,,,,,,,
504,2118802259,,,,,,,
505,8468601196,,,,,,,
506,6138105085,,,,,,,
507,1198600822,,,,,,,
508,1378109644,,,,,,,
509,6548608600,['신영전기주식회사'],1983-08-08,2.02E+12,배선용차단기의소호장치,['H01H 33/08'],2.00E+12,소멸
510,2068102135,,,,,,,
511,2110807573,,,,,,,
512,2068604982,,,,,,,
513,2148607567,,,,,,,
514,1208701124,,,,,,,
515,1358600761,,,,,,,
516,1078600909,,,,,,,
517,8838800993,,,,,,,
518,7578604646,,,,,,,
519,2078100614,,,,,,,
520,1048605327,,,,,,,
521,1818703717,,,,,,,
522,6128104657,,,,,,,
523,5685008240,,,,,,,
524,8628708038,,,,,,,
525,1058601100,,,,,,,
526,1058608096,,,,,,,
527,5028604772,,,,,,,
528,3018606021,,,,,,,
529,1208601438,,,,,,,
530,5578609695,,,,,,,
531,5998707060,,,,,,,
532,4728105210,,,,,,,
533,2148107135,,,,,,,
534,6138106686,,,,,,,
535,2308101527,,,,,,,
536,8638602490,,,,,,,
537,2388101442,,,,,,,
538,3148107657,,,,,,,
539,1018504814,,,,,,,
540,5038501423,,,,,,,
541,1018604423,,,,,,,
542,3068103046,,,,,,,
543,1138609008,,,,,,,
544,1108107364,,,,,,,
545,1018609413,,,,,,,
546,1058604506,,,,,,,
547,4028109380,,,,,,,
548,1058605796,,,,,,,
549,1058704927,,,,,,,
550,2148700573,,,,,,,
551,3118709443,,,,,,,
552,5038507517,,,,,,,
553,2368700153,,,,,,,
554,2618103983,,,,,,,
555,4188107189,,,,,,,
556,8198103987,,,,,,,
557,5731705145,,,,,,,
558,1208800029,,,,,,,
559,3128109434,,,,,,,
560,2208103382,,,,,,,
561,1058706361,,,,,,,
562,1688104821,,,,,,,
563,2101905616,,,,,,,
564,6208109116,,,,,,,
565,3128107646,,,,,,,
566,5078109578,,,,,,,
567,2208701121,,,,,,,
568,1068104928,,,,,,,
569,2118506332,,,,,,,
570,1028104876,,,,,,,
571,1048600952,,,,,,,
572,3028105655,,,,,,,
573,2378104083,,,,,,,
574,3148100493,,,,,,,
575,3148602597,,,,,,,
576,3608702820,,,,,,,
577,1208707371,,,,,,,
578,1058606593,,,,,,,
579,5278706422,,,,,,,
580,1232405875,,,,,,,
581,1198105568,,,,,,,
582,6320100043,['주식회사 우진'],1997-09-19,2.02E+12,전동차의제륜자계측장치,"['G01B 11/04', 'G01B 11/02', 'G01B 11/06', 'G01N 3/56', 'G01N 21/88']",,거절
583,6320100043,['주식회사 우진'],2004-04-01,2.02E+12,주간제어기 전위차계 프레임 구조,['H01C 10/34'],2.00E+12,소멸
584,6320100043,['주식회사 우진'],2004-02-05,2.02E+12,지하철 차량의 옥상 감시장치,"['B61L 27/00', 'B61L 25/02', 'H04N 5/225', 'G06T 7/00', 'G06F 3/14']",2.00E+12,소멸
585,6320100043,['주식회사 우진'],1999-09-27,2.02E+12,전동차용 교직절환기구조,['B60L 11/18'],2.00E+12,소멸
586,6320100043,['(주)우진'],2002-12-10,2.02E+12,정수처리장의 최적제어 응집기,"['C02F 1/52', 'C02F 1/00', 'B01F 15/00']",2.00E+12,소멸
587,6320100043,['주식회사 우진'],2010-11-10,2.02E+12,헤드 회전형 핀셋,"['B25B 9/02', 'B25B 9/00']",2.00E+12,소멸
588,6320100043,['주식회사 우진'],2012-12-17,2.02E+12,원자력 발전소용 케이블 조립장치의 백쉘 보호마개,"['G21D 3/04', 'H01R 13/52']",2.00E+12,소멸
589,6320100043,['주식회사 우진'],2010-11-19,2.02E+12,전기방식용 전극봉의 앤드캡 접속장치,"['B29C 65/02', 'C23F 13/10', 'H05B 3/48']",2.00E+12,소멸
590,6320100043,['주식회사 우진'],2013-09-09,2.02E+12,용선작업용 슬래그 스키머 자동 체결 및 분리장치,"['B22D 43/00', 'B22D 41/04']",2.00E+12,소멸
