BusinessNum,stYear,노무비,당기순이익(손실),당좌부채(당좌차월),당좌자산,대손상각비,매출 증가율,매출액,매출원가,매출채권,매출총이익,법인세비용,부채총계,비유동부채,수출액1,수출액2,수출액3,수출액4,수출액5,영업외비용,영업이익,원재료,유동부채,유동비율,유동자산,유형자산 증가율,이익잉여금,이자비용,인건비,자기자본,자본잉여금,자본총계,자산총계,재고자산,제조경비,제조원가,차입금,총자산,총자산 증가율,투자자산,판매비와관리비,cmpCd,cmpScl,criGrd,accDate,grdDesc
1018209933,2019.0,0.0,18751.0,0.0,304973.0,0.0,-10.075,430907.0,343956.0,0.0,86951.0,0.0,114265.0,89330.0,0.0,0.0,0.0,0.0,0.0,0.0,15657.0,0.0,24935.0,1223.072,304973.0,1000000000000.0,187708.0,0.0,44551.0,370708.0,0.0,370708.0,484973.0,0.0,0.0,0.0,5000.0,484973.0,6.058,40000.0,71294.0,3054960.0,기타(비영리법인),B2,2022-07-19,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
1018209933,2020.0,0.0,29368.0,0.0,357591.0,0.0,6.925,460749.0,384962.0,0.0,75787.0,0.0,137516.0,100019.0,0.0,0.0,0.0,0.0,0.0,0.0,26412.0,0.0,37497.0,953.652,357591.0,1000000000000.0,217075.0,0.0,27644.0,400075.0,0.0,400075.0,537591.0,0.0,0.0,0.0,5000.0,537591.0,10.85,40000.0,49375.0,3054960.0,기타(비영리법인),B2,2022-07-19,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
1018600452,2017.0,0.0,353398.0,0.0,1526027.0,6.0,5.469,4110183.0,0.0,386185.0,4110183.0,0.0,701101.0,168991.0,0.0,0.0,0.0,0.0,0.0,192378.0,475943.0,0.0,532110.0,286.788,1526027.0,-11.724,-236434.0,19440.0,1961871.0,1418859.0,799888.0,1418859.0,2119959.0,0.0,0.0,0.0,403991.0,2119959.0,15.497,364006.0,3634240.0,3333789.0,중소기업,A1,2022-07-19,"최상위의 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 극히 낮으며, 현 단계에서 합리적으로 예측가능한 장래의 어떠한 환경변화에도 대처 가능한 초우량의 신용"
1018600452,2018.0,0.0,-383097.0,0.0,1568652.0,0.0,-17.827,3377450.0,0.0,371747.0,3377450.0,0.0,955138.0,281226.0,0.0,0.0,0.0,0.0,0.0,49296.0,-439072.0,0.0,673912.0,232.768,1568652.0,2.903,-619532.0,27082.0,2333278.0,1035761.0,799888.0,1035761.0,1990899.0,0.0,0.0,0.0,608331.0,1990899.0,-6.088,189367.0,3816522.0,3333789.0,중소기업,A1,2022-07-19,"최상위의 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 극히 낮으며, 현 단계에서 합리적으로 예측가능한 장래의 어떠한 환경변화에도 대처 가능한 초우량의 신용"
1018600452,2019.0,0.0,768480.0,0.0,1977651.0,22425.0,62.7,5493876.0,0.0,942137.0,5493876.0,0.0,472256.0,0.0,0.0,0.0,0.0,0.0,0.0,147853.0,843851.0,0.0,472256.0,418.8,1977651.0,-36.5,148949.0,31866.0,3351690.0,1804242.0,799888.0,1804242.0,2276497.0,0.0,0.0,0.0,255000.0,2276497.0,14.3,90661.0,4650025.0,3333789.0,중소기업,A1,2022-07-19,"최상위의 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 극히 낮으며, 현 단계에서 합리적으로 예측가능한 장래의 어떠한 환경변화에도 대처 가능한 초우량의 신용"
1018600452,2020.0,0.0,2096037.0,0.0,4139524.0,4827.0,32.241,7265156.0,0.0,1412145.0,7265156.0,198948.0,632848.0,0.0,0.0,0.0,0.0,0.0,0.0,169374.0,2381048.0,0.0,632848.0,654.11,4139524.0,26.808,2244986.0,3006.0,2864515.0,3900278.0,799888.0,3900278.0,4533127.0,0.0,0.0,0.0,0.0,4533127.0,99.127,25956.0,4884107.0,3333789.0,중소기업,A1,2022-07-19,"최상위의 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 극히 낮으며, 현 단계에서 합리적으로 예측가능한 장래의 어떠한 환경변화에도 대처 가능한 초우량의 신용"
1018600452,2021.0,0.0,4818873.0,0.0,8590172.0,2445.0,44.617,10506656.0,0.0,1662072.0,10506656.0,906651.0,1295180.0,27711.0,0.0,0.0,0.0,0.0,0.0,70865.0,5286341.0,0.0,1267469.0,677.742,8590172.0,-6.34,6037372.0,10.0,2889976.0,7692665.0,799888.0,7692665.0,8987845.0,0.0,0.0,0.0,0.0,8987845.0,98.27,40455.0,5220315.0,3333789.0,중소기업,A1,2022-07-19,"최상위의 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 극히 낮으며, 현 단계에서 합리적으로 예측가능한 장래의 어떠한 환경변화에도 대처 가능한 초우량의 신용"
1018603474,2017.0,57114.0,31321.0,0.0,90123.0,616.0,-37.965,707819.0,535739.0,61008.0,172080.0,0.0,243574.0,0.0,0.0,0.0,0.0,0.0,0.0,10038.0,34914.0,0.0,243574.0,91.009,221674.0,-37.1,38874.0,7587.0,65006.0,138874.0,0.0,138874.0,382448.0,131552.0,27894.0,501035.0,211000.0,382448.0,-27.567,14146.0,137166.0,3692330.0,중소기업,B3,2021-12-31,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
1018603474,2018.0,65917.0,42807.0,0.0,72177.0,486.0,21.561,860429.0,697905.0,48092.0,162523.0,0.0,241103.0,0.0,0.0,0.0,0.0,0.0,0.0,9250.0,39200.0,0.0,241103.0,94.272,227293.0,271.885,81681.0,8080.0,46107.0,181681.0,0.0,181681.0,422784.0,155116.0,28975.0,721470.0,190000.0,422784.0,10.547,16632.0,123324.0,3692330.0,중소기업,B3,2021-12-31,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
1018603474,2019.0,88468.0,28019.0,0.0,225823.0,146.0,82.323,1568762.0,1378033.0,62581.0,190729.0,2518.0,233790.0,0.0,0.0,0.0,0.0,0.0,0.0,7913.0,35201.0,0.0,233790.0,118.641,277370.0,-33.964,109701.0,6870.0,48428.0,209701.0,0.0,209701.0,443491.0,51548.0,54713.0,1274465.0,162000.0,443491.0,4.898,7089.0,155528.0,3692330.0,중소기업,B3,2021-12-31,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
