,BusinessNum,cmpCd,cmpNm,cmpScl,criGrd,accDate,grdDesc
353,5058101789,1292605,아이디,중소기업,C1,2022-07-19,"현재 수준에서 신용능력은 제한적이며, 장래 거래안정성 저하가능성이 예상되어 주의가 요망되는 수준"
354,1148104458,,,,,,
355,1018100198,,,,,,
356,1638704156,,,,,,
357,1218105714,,,,,,
358,1111202274,,,,,,
359,2618101056,,,,,,
360,1018604405,,,,,,
361,1068606141,,,,,,
362,4028105074,,,,,,
363,1338108121,,,,,,
364,6648107814,,,,,,
365,2138605289,,,,,,
366,1058706947,,,,,,
367,1048604841,,,,,,
368,1268608762,,,,,,
369,7838500073,,,,,,
370,6158108442,1654091,대성종합건설,중소기업,B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
371,1298106266,1140997,영신정보통신,중소기업,B1,2022-07-19,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준"
372,5028607423,,,,,,
373,1018602889,,,,,,
374,8326206771,,,,,,
375,1100200009,,,,,,
376,3148108176,2913391,케이티서비스남부,대기업,B1,2022-07-19,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준"
377,1388104693,2813527,아이스톰,중소기업,A3,2022-07-19,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준"
378,1078600926,,,,,,
379,8108604531,,,,,,
380,5808602038,8017742,가온테크,중소기업,C2,2022-07-19,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준"
381,6038108750,,,,,,
382,1348604345,,,,,,
383,2068106589,,,,,,
384,4098600910,,,,,,
385,6728101587,,,,,,
386,1028106479,,,,,,
387,2668603681,,,,,,
388,4028108115,,,,,,
389,1168101538,,,,,,
390,8068705012,,,,,,
391,6118108886,,,,,,
392,2278100246,5844063,누리넷,중소기업,B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
393,3148605426,,,,,,
394,1058805342,,,,,,
395,1078605328,,,,,,
396,6078107978,,,,,,
397,1052709624,,,,,,
398,1188103114,1769281,비아이엔,중소기업,B2,2022-07-19,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
399,5998108939,,,,,,
400,4868809683,,,,,,
401,4028109306,,,,,,
402,5528800435,,,,,,
403,1078601381,2229580,나무소프트,중소기업,C2,2022-07-19,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준"
404,4588604384,,,,,,
405,3128108676,,,,,,
406,1058707096,,,,,,
407,5098100381,,,,,,
408,3018102673,,,,,,
409,4808100967,,,,,,
410,1098605340,,,,,,
411,3148602517,,,,,,
412,2538807078,,,,,,
413,6168106303,3740665,엘지정보기술,중소기업,A3,2022-07-19,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준"
414,5658601964,,,,,,
415,6178101790,,,,,,
416,6038807348,8596652,(주)모아폴리머,중소기업,B3,2022-02-15,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
417,1738709763,,,,,,
418,3248603307,,,,,,
419,3978603156,,,,,,
420,6218107252,,,,,,
421,3158100280,,,,,,
422,2208703726,3695884,노무법인유앤,중소기업,B2,2022-05-15,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
423,3418603674,,,,,,
424,5048102546,,,,,,
425,1358101705,,,,,,
426,6032408286,,,,,,
427,8588802771,,,,,,
428,2068607532,,,,,,
429,3078108250,,,,,,
430,2208601771,1860615,(주)앤플럭스,중소기업,B3,2022-03-15,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
431,2148601921,,,,,,
